,Nation,Year,population_rural
12245,argentina,2006,3850407
12259,bahamas,2006,58725
12262,belize,2006,159373
12265,brazil,2006,31719370
12266,barbados,2006,186890
12275,chile,2006,2151926
12281,colombia,2006,10185476
12284,costa_rica,2006,1436813
12295,dominican_republic,2006,2884525
12302,ecuador,2006,5355639
12328,guatemala,2006,6975316
12330,guyana,2006,540480
12333,honduras,2006,3874786
12336,haiti,2006,5270084
12353,jamaica,2006,1294629
12390,mexico,2006,25151866
12411,nicaragua,2006,2418774
12421,panama,2006,1221816
12422,peru,2006,6907204
12431,paraguay,2006,2485914
12447,el_salvador,2006,2298801
12486,uruguay,2006,214388
12511,argentina,2007,3823185
12525,bahamas,2007,59710
12528,belize,2007,163632
12531,brazil,2007,31470391
12532,barbados,2007,188259
12541,chile,2007,2165456
12547,colombia,2007,10140104
12550,costa_rica,2007,1401816
12561,dominican_republic,2007,2799789
12568,ecuador,2007,5417822
12594,guatemala,2007,7074355
12596,guyana,2007,542367
12599,honduras,2007,3911678
12602,haiti,2007,5262884
12619,jamaica,2007,1295974
12656,mexico,2007,25196552
12677,nicaragua,2007,2441293
12687,panama,2007,1234065
12688,peru,2007,6855748
12697,paraguay,2007,2502185
12713,el_salvador,2007,2272948
12752,uruguay,2007,207268
12777,argentina,2008,3795591
12791,bahamas,2008,60683
12794,belize,2008,167948
12797,brazil,2008,31206854
12798,barbados,2008,189646
12807,chile,2008,2178923
12813,colombia,2008,10088363
12816,costa_rica,2008,1366161
12827,dominican_republic,2008,2714468
12834,ecuador,2008,5479973
12860,guatemala,2008,7170952
12862,guyana,2008,544390
12865,honduras,2008,3945305
12868,haiti,2008,5252460
12885,jamaica,2008,1297157
12922,mexico,2008,25241502
12943,nicaragua,2008,2463917
12953,panama,2008,1246142
12954,peru,2008,6840104
12963,paraguay,2008,2516926
12979,el_salvador,2008,2227180
13018,uruguay,2008,200480
13043,argentina,2009,3768542
13057,bahamas,2009,61582
13060,belize,2009,172289
13063,brazil,2009,30936530
13064,barbados,2009,190975
13073,chile,2009,2192333
13079,colombia,2009,10029829
13082,costa_rica,2009,1330227
13093,dominican_republic,2009,2629580
13100,ecuador,2009,5541143
13126,guatemala,2009,7265538
13128,guyana,2009,546813
13131,honduras,2009,3975542
13134,haiti,2009,5239211
13151,jamaica,2009,1298471
13188,mexico,2009,25281881
13209,nicaragua,2009,2486611
13219,panama,2009,1258058
13220,peru,2009,6840848
13229,paraguay,2009,2531111
13245,el_salvador,2009,2181665
13284,uruguay,2009,193979
13309,argentina,2010,3732551
13323,bahamas,2010,62372
13326,belize,2010,176620
13329,brazil,2010,30658541
13330,barbados,2010,192215
13339,chile,2010,2205502
13345,colombia,2010,9965273
13348,costa_rica,2010,1293748
13359,dominican_republic,2010,2544677
13366,ecuador,2010,5600646
13392,guatemala,2010,7357570
13394,guyana,2010,549826
13397,honduras,2010,4001949
13400,haiti,2010,5222496
13417,jamaica,2010,1300036
13454,mexico,2010,25311523
13475,nicaragua,2010,2509178
13485,panama,2010,1269842
13486,peru,2010,6841824
13495,paraguay,2010,2545379
13511,el_salvador,2010,2136405
13550,uruguay,2010,187648
13575,argentina,2011,3717660
13589,bahamas,2011,63013
13592,belize,2011,180876
13595,brazil,2011,30356009
13596,barbados,2011,193280
13605,chile,2011,2217617
13611,colombia,2011,9892834
13614,costa_rica,2011,1257048
13625,dominican_republic,2011,2470281
13632,ecuador,2011,5662950
13658,guatemala,2011,7449391
13660,guyana,2011,553493
13663,honduras,2011,4024671
13666,haiti,2011,5202472
13683,jamaica,2011,1301906
13720,mexico,2011,25324580
13741,nicaragua,2011,2531634
13751,panama,2011,1281070
13752,peru,2011,6842874
13761,paraguay,2011,2559941
13777,el_salvador,2011,2091408
13816,uruguay,2011,181517
13841,argentina,2012,3705497
13855,bahamas,2012,63510
13858,belize,2012,185069
13861,brazil,2012,30046545
13862,barbados,2012,194182
13871,chile,2012,2229159
13877,colombia,2012,9813667
13880,costa_rica,2012,1221412
13891,dominican_republic,2012,2403083
13898,ecuador,2012,5727273
13924,guatemala,2012,7538790
13926,guyana,2012,555965
13929,honduras,2012,4043671
13932,haiti,2012,5179073
13949,jamaica,2012,1303627
13986,mexico,2012,25325353
14007,nicaragua,2012,2554001
14017,panama,2012,1291781
14018,peru,2012,6844395
14027,paraguay,2012,2574576
14043,el_salvador,2012,2046849
14082,uruguay,2012,177767
14107,argentina,2013,3693178
14121,bahamas,2013,63900
14124,belize,2013,189163
14127,brazil,2013,29735220
14128,barbados,2013,194943
14137,chile,2013,2241070
14143,colombia,2013,9735691
14146,costa_rica,2013,1186950
14157,dominican_republic,2013,2336313
14164,ecuador,2013,5792130
14190,guatemala,2013,7625643
14192,guyana,2013,558830
14195,honduras,2013,4059814
14198,haiti,2013,5152492
14215,jamaica,2013,1305001
14252,mexico,2013,25311372
14273,nicaragua,2013,2576243
14283,panama,2013,1302057
14284,peru,2013,6851291
14293,paraguay,2013,2591283
14309,el_salvador,2013,2002888
14348,uruguay,2013,174793
14373,argentina,2014,3679390
14387,bahamas,2014,64236
14390,belize,2014,193167
14393,brazil,2014,29416963
14394,barbados,2014,195595
14403,chile,2014,2254856
14409,colombia,2014,9668302
14412,costa_rica,2014,1153722
14423,dominican_republic,2014,2269885
14430,ecuador,2014,5860543
14456,guatemala,2014,7709179
14458,guyana,2014,561734
14461,honduras,2014,4073534
14464,haiti,2014,5122175
14481,jamaica,2014,1305772
14518,mexico,2014,25283003
14539,nicaragua,2014,2598376
14549,panama,2014,1311971
14550,peru,2014,6868729
14559,paraguay,2014,2608527
14575,el_salvador,2014,1959420
14614,uruguay,2014,171892
